delayWeeks,completionPace,averageScore,loginFrequency,gapDepth,recencyRatio,weakSkillRatio,avgFocusScore,hasAttentionData,caughtUp,examGrade
0.614,3.747,28.926,7.996,0.229,0.645,0.801,0,0,1,9.5
0.589,0.478,13.647,2.686,0.657,0.507,0.404,0,0,0,8
3.85,1.24,54.676,1.734,0.207,0.051,0.011,0,0,1,8.5
5.113,2.709,35.421,10.154,0.924,0.323,0.323,0,0,0,7.5
1.9,4.024,64.004,13.881,0.168,0.77,0.169,0,0,1,16
0.621,3.499,73.789,8.416,0.211,0.088,0.678,0,0,1,12.75
1.009,3.968,9.527,7.076,0.536,0.282,0.656,0,0,0,6.5
7.657,4.087,33.61,9.567,0.495,0.404,0.877,21.62,1,1,6.25
3.517,0.657,22.255,9.455,0.976,0.893,0.55,54.571,1,0,7.25
1.26,4.596,94.539,2.922,0.588,0.835,0.513,0,0,1,16.75
2.071,2.72,61.906,2.763,0.478,0.386,0.45,93.861,1,1,13.5
3.93,1.585,27.369,10.467,0.205,0.548,0.022,0,0,1,9.5
9.036,2.42,40.986,11.047,0.911,0.654,0.987,0,0,0,7.75
5.293,1.088,67.739,6.618,0.048,0.23,0.974,87.308,1,1,12.25
6.088,0.538,83.445,1.86,0.042,0.082,0.922,51.749,1,0,10.75
7.984,3.547,54.811,11.171,0.835,0.01,0.058,7.437,1,1,9.5
2.053,1.555,71.293,12.042,0.251,0.499,0.334,0,0,1,11.25
1.434,3.733,90.985,6.662,0.357,0.734,0.103,0,0,1,14.5
11.469,3.366,25.239,7.448,0.711,0.616,0.149,0,0,0,9
8.472,0.054,14.188,12.777,0.358,0.526,0.539,91.055,1,1,8.25
6.866,1.276,90.327,13.061,0.348,0.384,0.542,52.989,1,0,11.75
0.525,1.535,22.786,6.281,0.841,0.744,1,0,0,0,6.25
3.675,4.658,40.069,3.526,0.845,0.008,0.65,0,0,0,8.5
0.08,0.361,31.916,8.054,0.172,0.147,0.707,0,0,0,7.25
0.501,3.333,20.494,1.216,0.375,0.606,0.479,71.607,1,1,10
3.263,2.211,38.893,0.437,0.648,0.945,0.697,0,0,0,8.25
11.197,3.826,91.966,1.837,0.02,0.405,0.246,0,0,1,12.25
0.261,3.584,99.819,12.238,0.401,0.817,0.533,0,0,1,17.5
11.982,0.303,46.3,5.147,0.524,0.566,0.411,50.816,1,1,7
5.222,0.682,40.637,0.302,0.444,0.457,0.698,0,0,0,9.5
3.364,1.467,90.767,11.151,0.191,0.907,0.554,0,0,1,13.25
10.923,2.102,0.614,12.459,0.072,0.345,0.621,11.023,1,0,5.75
7.305,4.613,61.222,8.659,0.101,0.45,0.817,0,0,0,12
10.372,3.113,8.478,3.892,0.81,0.462,0.888,0,0,0,4.75
4.745,2.072,40.782,6.654,0.634,0.467,0.963,80.236,1,0,9.5
8.895,2.374,13.344,1.649,0.761,0.198,0.691,0,0,0,3.75
9.903,0.001,94.325,5.472,0.666,0.016,0.344,95.857,1,0,13
4.797,3.339,69.666,3.069,0.102,0.775,0.77,23.401,1,1,12.5
8.475,0.869,95.475,0.473,0.651,0.729,0.813,0,0,0,13.5
2.871,4.421,48.474,11.394,0.148,0.583,0.581,0,0,1,10.75
8.542,1.137,2.581,13.839,0.668,0.987,0.343,0,0,1,8.5
10.254,4.118,44.046,10.175,0.189,0.106,0.333,0,0,1,8.75
0.117,2.528,46.567,11.433,0.4,0.853,0.934,0,0,1,9.75
11.976,0.489,86.22,8.149,0.289,0.423,0.943,0,0,1,9.25
8.66,1.425,93.856,13.647,0.145,0.148,0.677,0,0,0,11.5
3.494,4.623,20.593,4.438,0.933,0.443,0.871,0,0,1,7.5
5.732,4.507,91.305,7.557,0.382,0.265,0.766,71.331,1,1,15
10.815,1.598,14.794,12.734,0.429,0.358,0.761,0,0,0,5.5
10.31,2.374,99.879,10.119,0.28,0.882,0.72,0,0,1,13
9.368,4.495,94.982,5.994,0.009,0.599,0.962,73.226,1,1,13.25
8.266,2.42,24.849,8.877,0.85,0.123,0.654,0,0,0,5
9.478,2.155,27.029,13.071,0.501,0.828,0.139,0,0,1,7.5
11.985,1.569,96.828,12.831,0.43,0.89,0.15,85.279,1,1,14.25
6.905,2.54,54.855,7.139,0.516,0.188,0.88,0,0,0,9.75
5.726,4.545,82.682,6.229,0.544,0.17,0.208,5.954,1,0,10.75
1.441,2.677,15.321,3.535,0.426,0.624,0.811,30.286,1,0,7
1.063,0.651,48.138,5.414,0.129,0.132,0.482,0,0,0,9.5
0.397,2.507,16.357,9.349,0.669,0.545,0.735,0.108,1,0,6.75
5.354,0.017,71.824,2.266,0.398,0.941,0.167,32.015,1,0,11.5
1.358,3.817,5.905,2.291,0.587,0.594,0.033,60.103,1,1,7.75
3.584,2.129,84.568,8.967,0.149,0.757,0.397,31.222,1,1,12
4.345,2.338,85.612,2.203,0.704,0.507,0.453,0,0,1,11.5
10.524,2.329,46.898,3.42,0.423,0.926,0.524,0,0,1,11.25
1.985,2.844,16.592,9.343,0.069,0.821,0.071,56.637,1,0,8.5
8.276,0.514,64.785,10.117,0.094,0.073,0.988,61.09,1,0,8.75
8.256,4.539,51.845,11.995,0.309,0.951,0.394,47.192,1,1,13
10.641,1.595,78.366,0.922,0.747,0.847,0.427,59.176,1,0,11
8.37,0.665,96.5,0.941,0.804,0.949,0.314,0,0,1,14.5
6.287,3.041,82.365,0.078,0.754,0.249,0.25,0,0,0,10.5
11.678,4.052,49.133,9.738,0.036,0.633,0.59,89.08,1,0,10.75
7.748,1.729,79.206,3.936,0.437,0.841,0.965,0,0,0,10.5
7.333,4.26,97.228,11.88,0.675,0.957,0.219,96.635,1,1,16.5
9.625,0.467,29.353,12.18,0.878,0.688,0.51,0,0,0,8.5
0.399,0.274,68.79,6.478,0.022,0.665,0.587,0,0,1,12
10.151,0.786,5.142,8.117,0.925,0.33,0.699,0,0,0,3.25
10.402,1.759,27.306,5.088,0.837,0.148,0.878,0,0,0,5
2.962,0.861,4.158,11.151,0.983,0.322,0.161,78.604,1,0,6
9.47,1.662,62.841,5.135,0.13,0.537,0.489,0,0,1,10.5
6.356,1.001,90.278,8.616,0.407,0.661,0.227,0,0,0,15.25
8.942,1.375,65.816,10.742,0.998,0.607,0.731,46.338,1,0,8.5
9.179,4.914,47.697,4.43,0.998,0.543,0.967,0,0,0,10
7.353,0.884,34.786,7.431,0.433,0.193,0.091,0,0,0,8
8.256,3.525,2.744,7.493,0.111,0.559,0.056,25.438,1,0,7.25
1.598,0.283,5.99,10.475,0.803,0.189,0.478,84.658,1,0,6
0.767,1.92,34.793,4.749,0.215,0.75,0.482,22.189,1,0,11
11.354,0.834,70.972,6.195,0.821,0.472,0.913,19.087,1,0,8.25
11.742,4.821,48.134,0.152,0.135,0.199,0.301,0,0,0,9.75
5.699,3.462,5.582,4.042,0.141,0.117,0.276,0,0,0,5.75
9.644,4.587,18.026,6.481,0.607,0.907,0.894,0,0,1,8.75
1.088,2.716,91.39,4.287,0.572,0.128,0.646,0,0,1,12
10.046,4.94,54.587,6.763,0.055,0.034,0.775,0,0,0,8.25
6.89,4.705,64.651,5.998,0.365,0.559,0.418,14.273,1,1,10.75
10.535,2.456,86.545,0.715,0.978,0.571,0.479,98.155,1,1,12.75
2.999,3.432,5.364,1.226,0.998,0.879,0.442,97.376,1,0,6.75
1.779,3.914,94.595,7.457,0.822,0.066,0.095,0,0,1,13.25
4.911,3.999,14.605,12.547,0.13,0.823,0.651,0,0,1,8
0.74,4.215,39.562,3.224,0.239,0.905,0.815,33.827,1,1,10.75
11.874,3.157,14.091,1.926,0.873,0.201,0.186,41.769,1,0,4.75
1.007,0.801,48.442,8.058,0.677,0.224,0.608,0,0,0,8.75
6.81,1.758,24.22,3.166,0.091,0.065,0.182,45.098,1,0,5.5
0.434,3.151,79.252,4.018,0.15,0.639,0.018,0,0,1,13.5
10.414,2.759,63.035,11.142,0.89,0.31,0.152,0,0,0,10
6.237,1.501,11.493,4.216,0.376,0.761,0.384,0,0,0,8.25
6.664,3.159,44.438,2.656,0.843,0.469,0.384,0,0,1,7.75
9.682,1.72,24.533,12.735,0.628,0.361,0.863,75.77,1,0,8
2.268,0.225,46.248,8.165,0.297,0.966,0.232,0,0,1,9.75
11.013,4.829,56.321,0.009,0.6,0.301,0.301,0,0,0,10.75
5.012,1.341,36.04,11.109,0.888,0.185,0.463,19.595,1,0,5.5
1.926,3.602,54.748,1.972,0.453,0.548,0.193,98.666,1,1,11.75
5.626,1.086,68.849,2.309,0.503,0.199,0.487,0,0,0,8.5
3.839,2.351,70.873,9.333,0.499,0.214,0.489,10.635,1,0,9.75
11.454,3.898,25.847,12.064,0.513,0.996,0.434,0,0,1,8.25
3.257,2.633,34.265,3.742,0.052,0.094,0.494,0,0,1,9.25
6.134,4.605,67.112,9.663,0.068,0.921,0.951,57.521,1,1,12.25
1.933,1.181,11.115,11.674,0.279,0.554,0.248,0,0,1,7.25
6.488,1.3,37.016,13.863,0.076,0.53,0.975,0,0,0,10
3.266,2.344,88.513,9.219,0.482,0.901,0.93,0,0,1,15.25
7.769,0.57,34.884,7.905,0.109,0.309,0.905,64.002,1,0,8
10.049,4.055,32.172,6.921,0.647,0.557,0.261,5.797,1,1,8.75
11.832,2.744,15.436,0.281,0.075,0.251,0.874,76.715,1,0,5.75
10.96,0.169,12.121,11.423,0.786,0.134,0.402,36.559,1,0,4.5
9.778,4.948,21.017,0.772,0.779,0.715,0.67,9.319,1,0,6.5
1.57,2.255,9.216,10.514,0.799,0.797,0.004,53.718,1,0,10
10.811,0.616,44.308,7.817,0.395,0.096,0.729,70.827,1,0,7.25
11.543,1.75,56.012,5.873,0.594,0.022,0.928,11.032,1,0,7.75
11.28,4.42,99.42,10.771,0.031,0.966,0.461,0,0,1,16
9.182,3.345,76.141,0.527,0.624,0.886,0.887,94.116,1,0,11.75
1.871,0.662,62.164,3.99,0.573,0.103,0.075,0,0,0,9.75
4.206,3.835,55.007,12.373,0.479,0.227,0.626,0,0,1,11
3.172,3.39,65.517,8.918,0.114,0.516,0.161,26.242,1,1,13.5
1.241,2.389,51.926,11.113,0.738,0.648,0.885,0,0,1,10.25
1.662,4.357,60.695,5.494,0.899,0.023,0.589,50.524,1,0,9.5
5.053,0.438,86.368,1.162,0.911,0.14,0.884,0,0,0,9.5
1.338,4.053,3.919,13.257,0.078,0.052,0.001,0,0,1,9.25
8.834,2.143,23.117,8.3,0.999,0.662,0.059,0,0,0,8.25
11.079,0.974,89.525,6.796,0.984,0.21,0.733,0,0,0,11.5
11.827,0.804,26.766,11.594,0.756,0.408,0.314,34.161,1,0,5.5
10.431,4.664,34.512,11.055,0.442,0.992,0.132,70.808,1,1,11.5
11.824,0.514,49.961,12.661,0.481,0.912,0.841,0,0,1,8.75
11.807,1.503,5.6,7.014,0.988,0.741,0.732,0,0,0,4.25
2.574,0.207,44.513,1.998,0.529,0.599,0.577,79.808,1,1,8
10.043,4.743,0.594,0.712,0.002,0.955,0.297,81.068,1,1,9.75
5.845,3.142,53.111,8.771,0.71,0.84,0.998,56.018,1,0,8.75
4.527,3.935,22.615,10.744,0.861,0.663,0.822,59.982,1,1,8.25
6.626,3.666,93.743,2.524,0.285,0.63,0.745,35.35,1,1,11.75
2.726,1.854,87.683,10.241,0.509,0.499,0.911,0,0,1,11.75
3.798,4.004,74.345,0.719,0.033,0.498,0.127,0,0,1,14.5
3.83,2.664,33.917,3.702,0.424,0.999,0.096,0,0,1,11.25
0.872,3.924,61.571,9.381,0.273,0.646,0.805,0,0,1,11.5
8.393,1.055,74.013,10.79,0.989,0.253,0.356,0,0,1,11.75
3.644,0.334,35.404,5.803,0.024,0.702,0.55,0,0,1,9.5
5.744,3.363,79.468,4.773,0.852,0.246,0.83,0,0,0,12.5
9.308,1.986,32.131,6.651,0.278,0.638,0.356,0,0,0,8.5
1.992,2.53,56.894,9.016,0.133,0.401,0.69,0,0,1,12.75
8.868,3.674,82.281,13.313,0.672,0.494,0.376,32.545,1,1,12.75
5.559,4.968,16.183,9.113,0.18,0.43,0.937,0,0,1,7.25
2.151,3.868,32.981,6.61,0.908,0.686,0.217,0,0,0,11.5
9.321,0.928,70.442,7.712,0.1,0.388,0.596,0,0,0,11.5
4.553,4.531,92.791,9.074,0.725,0.131,0.365,0,0,1,14.75
3.755,4.062,74.539,9.976,0.112,0.939,0.992,0,0,1,14.25
0.424,1.615,47.389,12.852,0.908,0.991,0.434,0,0,1,12.5
9.82,0.004,59.171,12.093,0.674,0.688,0.306,0,0,1,9
0.516,3.863,15.475,2.282,0.131,0.019,0.302,0,0,0,8.75
0.657,1.018,28.314,4.909,0.569,0.896,0.367,0,0,0,9.75
11.474,1.981,90.66,1.028,0.305,0.952,0.358,0,0,1,12.5
9.738,3.096,41.452,9.236,0.867,0.433,0.145,52.821,1,0,8.5
4.839,0.276,95.706,12.476,0.53,0.623,0.371,0,0,1,13
7.278,2.339,47.677,7.776,0.148,0.399,0.305,14.126,1,0,8.25
2.072,2.146,52.196,6.019,0.748,0.881,0.786,0,0,1,9.5
7.973,3.602,75.023,11.786,0.925,0.4,0.719,79.596,1,1,12.25
6.957,4.242,83.754,1.61,0.208,0.021,0.236,90.907,1,1,11.5
0.156,3.234,30.456,3.853,0.965,0.539,0.692,0,0,1,9
11.485,3.35,60.105,2.095,0.141,0.874,0.356,0,0,1,10.75
1.999,4.242,72.766,11.834,0.488,0.797,0.321,0,0,1,14.5
6.429,2.374,70.135,0.382,0.687,0.874,0.903,46.469,1,0,11.75
4.184,0.757,75.799,6.168,0.101,0.908,0.06,0,0,1,13
3.027,1.948,64.566,0.127,0.422,0.35,0.923,0,0,1,8.75
1.527,1.115,61.736,3.98,0.1,0.557,0.419,0,0,0,12
3.299,3.298,24.891,6.899,0.89,0.336,0.981,0,0,0,6.5
3.589,1.804,20.946,8,0.366,0.389,0.244,0,0,0,6.5
11.92,0.08,4.299,11.471,0.899,0.337,0.475,0,0,0,4.25
2.461,3.351,15.235,10.288,0.282,0.311,0.584,0,0,1,8.25
9.212,4.574,50.018,11.958,0.4,0.304,0.773,0,0,0,11
1.668,4.507,52.139,2.884,0.257,0.733,0.761,0,0,1,10.5
7.027,2.321,9.563,8.012,0.1,0.826,0.098,54.833,1,1,7
8.233,4.693,79.962,5.994,0.34,0.192,0.939,62.687,1,1,13
2.545,4.239,26.473,5.388,0.842,0.428,0.161,0,0,0,8
5.166,0.983,12.774,7.615,0.355,0.297,0.451,0,0,0,7.25
2.53,0.425,49.66,11.911,0.319,0.868,0.824,0,0,0,11.25
10.984,4.036,69.088,9.712,0.825,0.107,0.033,22.199,1,0,9.25
9.325,0.111,84.663,8.494,0.349,0.036,0.262,0,0,0,10
3.363,4.264,29.356,7.288,0.958,0.161,0.034,19.502,1,0,7
9.976,4.048,49.09,10.168,0.152,0.761,0.964,0,0,0,10.75
3.027,3.436,23.933,7.483,0.172,0.751,0.84,18.428,1,0,7.75
8.75,3.439,92.329,4.913,0.968,0.264,0.133,55.709,1,1,12.75
2.562,2.058,90.785,11.277,0.545,0.799,0.708,0,0,1,15.75
5.673,0.478,43.322,0.593,0.158,0.659,0.301,0,0,1,9
2.584,4.503,44.527,13.782,0.711,0.637,0.727,0,0,0,10
8.143,4.751,60.372,6.078,0.76,0.471,0.631,66.021,1,0,11.25
2.375,1.09,35.193,9.551,0.943,0.984,0.776,0,0,1,8.25
10.13,2.757,5.019,2.012,0.068,0.048,0.139,0,0,0,5.75
1.668,4.085,65.586,13.476,0.111,0.649,0.405,0,0,1,14
1.605,3.331,8.835,4.304,0.454,0.756,0.242,0,0,0,8
10.662,2.123,55.193,4.551,0.186,0.843,0.33,0,0,1,11.75
5.375,2.362,98.409,0.09,0.651,0.377,0.351,30.174,1,1,14
2.56,3.56,39.769,11.299,0.387,0.869,0.83,0,0,1,9.5
10.388,0.236,58.729,11.233,0.143,0.314,0.051,0,0,0,11.25
6.02,0.412,66.832,2.533,0.89,0.798,0.045,69.237,1,1,10.5
3.17,3.181,36.815,3.267,0.152,0.857,0.392,0,0,1,10.5
0.275,2.208,49.333,2.103,0.498,0.602,0.881,0,0,0,9
3.568,1.105,11.301,11.071,0.062,0.102,0.179,93.889,1,0,7.75
5.78,2.535,22.405,4.639,0.702,0.435,0.371,66.048,1,0,6.75
10.683,0.047,61.399,1.818,0.105,0.7,0.552,0,0,1,10.25
8.384,4.187,35.835,4.546,0.657,0.607,0.766,57.714,1,1,7.25
1.303,2.691,32.187,12.005,0.913,0.471,0.535,0,0,1,7.75
10.435,3.627,30.166,13.893,0.835,0.68,0.124,49.075,1,1,7.5
0.428,4.684,72.684,13.639,0.747,0.865,0.128,0,0,1,16
10.423,1.861,69.438,1.451,0.905,0.362,0.045,0,0,0,10
10.993,1.819,90.244,2.112,0.981,0.464,0.887,0,0,0,11
4.29,4.212,94.68,0.495,0.769,0.867,0.367,0,0,1,15.75
3.417,2.907,18.624,0.916,0.07,0.57,0.683,0,0,1,7.75
11.782,2.114,54.6,2.591,0.526,0.375,0.432,0,0,0,9.25
9.462,0.234,82.133,0.418,0.452,0.253,0.302,0,0,0,9.5
11.027,0.501,0.485,0.877,0.964,0.78,0.365,31.457,1,0,4.5
5.307,1.706,28.316,5.279,0.548,0.698,0.062,0,0,1,9.25
11.164,0.961,5.003,4.416,0.746,0.084,0.101,71.396,1,0,4.25
0.028,1.697,53.2,2.357,0.594,0.919,0.475,0,0,1,11
1.161,4.299,77.784,11.596,0.49,0.406,0.617,63.463,1,1,13.25
9.354,2.174,27.501,12.503,0.615,0.67,0.775,3.286,1,0,6
11.378,0.924,5.208,8.227,0.893,0.066,0.064,0,0,0,5.75
2.331,4.498,84.111,6.766,0.906,0.14,0.907,0,0,0,11.75
11.992,3.171,34.958,13.056,0.124,0.782,0.843,0,0,1,8.5
0.716,3.1,18.295,9.776,0.499,0.742,0.587,0,0,1,9.75
2.435,2.391,33.663,13.078,0.328,0.433,0.46,0,0,0,9.25
8.92,4.734,98.256,10.349,0.494,0.2,0.573,0,0,0,14.75
7.833,2.485,84.27,2.461,0.995,0.405,0.804,6.834,1,0,9.5
4.625,1.411,95.326,3.432,0.308,0.547,0.681,0,0,1,12.5
4.071,2.137,39.774,9.084,0.348,0.134,0.335,0,0,1,7.5
11.309,0.791,25.086,7.838,0.566,0.633,0.778,0,0,0,5
4.447,0.298,63.216,6.267,0.471,0.961,0.138,0,0,0,12.25
7.575,0.4,88.918,7.135,0.201,0.809,0.959,55.072,1,0,11.25
2.369,2.195,56.057,12.653,0.954,0.24,0.309,83.812,1,1,12.5
10.392,3.035,58.587,12.949,0.236,0.912,0.552,0,0,1,12.5
7.492,2.563,21.162,11.052,0.792,0.326,0.146,0,0,0,6.75
8.153,3.215,58.049,13.096,0.831,0.045,0.474,2.065,1,0,8.5
11.784,3.093,36.835,6.777,0.464,0.577,0.637,87.801,1,0,10.25
5.673,2.726,22.608,11.597,0.04,0.695,0.531,0,0,1,9.5
3.998,1.164,86.788,12.69,0.582,0.611,0.351,28.79,1,0,11.25
9.816,1.538,77.255,1.98,0.93,0.641,0.542,21.695,1,0,12.25
1.508,4.543,64.119,13.511,0.5,0.587,0.787,0,0,1,14.5
4.79,1.735,63.905,10.703,0.336,0.44,0.56,0,0,1,10.25
10.378,4.329,19.569,6.768,0.939,0.731,0.926,90.339,1,0,6.25
1.544,3.179,34.612,2.324,0.132,0.638,0.351,85.83,1,0,10
3.528,4.223,45.254,12.979,0.689,0.836,0.542,0,0,1,11
10.055,0.449,39.459,0.834,0.976,0.254,0.502,22.551,1,0,5.5
5.781,0.836,11.812,13.554,0.134,0.322,0.07,0,0,1,6.5
9.076,4.43,84.952,13.959,0.806,0.342,0.714,0,0,0,13.75
4.916,4.718,2.05,5.217,0.257,0.971,0.614,0,0,0,8
4.045,2.066,31.408,6.122,0.088,0.632,0.565,0,0,1,7.5
9.681,4.232,15.997,13.681,0.07,0.159,0.732,0,0,0,7.25
7.261,1.04,32.4,12.736,0.232,0.103,0.395,0,0,0,8.25
3.751,0.151,3.088,1.238,0.881,0.937,0.592,0,0,0,7
7.786,4.8,11.058,3.626,0.635,0.975,0.722,16.052,1,0,7.5
8.174,4.638,51.86,13.462,0.281,0.212,0.256,72.291,1,1,10.25
8.22,1.656,27.143,13.893,0.967,0.806,0.815,0,0,0,7.5
1.892,2.712,65.417,6.263,0.799,0.066,0.837,0,0,0,11
5.986,4.547,12.269,13.688,0.382,0.33,0.847,0,0,0,6.5
6.81,3.155,77.739,8.121,0.347,0.051,0.831,0,0,0,11
3.22,2.125,20.859,7.224,0.326,0.126,0.321,0,0,0,7.5
10.935,1.573,34.447,1.109,0.137,0.588,0.606,65.708,1,0,7.5
10.254,1.219,65.367,1.607,0.058,0.09,0.339,0,0,1,10.25
5.657,4.383,62.245,11.663,0.646,0.316,0.03,0,0,0,13
0.809,4.522,10.774,11.049,0.6,0.34,0.049,0,0,0,10
7.051,3.5,90.693,9.219,0.713,0.849,0.539,0,0,1,15
10.116,2.638,48.903,0.219,0.359,0.553,0.831,0,0,0,7.75
2.238,1.964,94.263,9.495,0.308,0.18,0.698,0,0,1,12.25
7.941,3.491,49.845,0.495,0.961,0.359,0.856,0,0,0,9.5
2.439,1.941,14.913,6.768,0.451,0.784,0.591,88.689,1,0,8
0.371,2.493,25.94,1.082,0.272,0.264,0.862,0,0,0,6
8.318,4.707,89.136,4.263,0.842,0.431,0.995,29.74,1,0,10.5
7.724,2.16,1.929,8.527,0.172,0.997,0.051,0,0,0,6.5
6.616,2.088,20.51,12.027,0.433,0.154,0.695,0,0,0,5
3.647,3.287,2.791,7.125,0.802,0.098,0.985,61.918,1,0,4
11.849,0.834,10.536,11.168,0.486,0.672,0.725,64.46,1,0,6.25
8.995,2.145,19.329,8.538,0.839,0.333,0.779,0,0,0,5.25
0.651,0.785,78.796,1.488,0.711,0.736,0.607,0,0,1,12.5
9.377,4.675,34.808,13.812,0.509,0.755,0.444,0,0,1,10
1.712,2.247,66.023,1.889,0.579,0.873,0.599,0,0,0,13
1.795,1.089,27.926,9.209,0.85,0.392,0.621,0,0,0,8.5
1.024,2.773,99.864,5.664,0.813,0.721,0.012,75.913,1,1,15.25
1.603,3.12,47.542,8.774,0.677,0.567,0.523,0,0,1,12.5
5.212,0.573,90.543,11.643,0.464,0.485,0.149,54.802,1,1,14
0.03,4.438,5.984,9.717,0.253,0.642,0.917,0,0,1,8.25
5.651,3.207,20.212,1.464,0.956,0.363,0.535,86.585,1,1,6.75
0.099,4.915,23.837,3.278,0.035,0.278,0.983,89.401,1,1,7.75
5.982,3.577,45.768,5.493,0.523,0.595,0.004,0,0,1,11.25
2.844,1.915,23.777,3.093,0.164,0.41,0.377,31.742,1,1,8.25
10.22,0.401,94.661,11.727,0.151,0.738,0.623,26.191,1,0,14
2.197,3.081,87.316,13.786,0.356,0.439,0.988,0,0,1,13.75
5.887,4.502,35.906,4.262,0.691,0.711,0.273,0,0,1,10.75
2.794,3.402,2.852,12.927,0.277,0.227,0.223,66.351,1,0,9.25
7.654,0.875,65.546,7.722,0.887,0.599,0.416,93.889,1,1,12.75
3.13,2.244,67.405,10.519,0.79,0.004,0.322,0,0,1,9
11.198,3.187,31.973,13.843,0.896,1,0.989,0,0,0,10.25
0.587,3.366,24.931,4.086,0.265,0.114,0.047,0,0,1,10.5
8.895,3.971,64.017,6.202,0.999,0.627,0.463,0,0,0,9.75
7.49,4.893,68.365,12.517,0.148,0.425,0.428,68.381,1,1,14.75
2.482,1.122,79.327,4.077,0.344,0.361,0.951,0,0,1,11.25
6.029,3.77,25.216,1.238,0.464,0.258,0.14,9.195,1,0,8.25
5.506,4.98,27.523,7.952,0.181,0.439,0.181,29.541,1,0,10.5
8.017,2.926,97.84,12.659,0.749,0.509,0.944,0,0,0,12.75
5.108,4.817,53.205,6.847,0.727,0.56,0.309,0,0,1,12.25
8.774,1.128,83.337,5.029,0.681,0.648,0.465,0,0,1,10.5
9.117,4.736,30.321,13.684,0.616,0.322,0.94,75.526,1,0,8
10.941,2.17,20.281,9.031,0.158,0.111,0.224,0,0,0,5.75
7.639,0.321,58.132,8.281,0.623,0.694,0.201,0,0,0,9
1.57,2.683,58.596,0.655,0.326,0.251,0.207,0,0,1,12.25
2.443,1.518,70.229,12.177,0.712,0.396,0.974,0,0,0,9.25
5.977,0.53,73.312,5.698,0.482,0.787,0.591,36.393,1,0,12.5
9.257,3.911,36.661,10.513,0.203,0.558,0.788,0,0,0,8.25
10.141,4.303,59.655,11.582,0.481,0.868,0.199,0,0,1,12.25
6.464,3.576,93.566,12.716,0.161,0.44,0.708,29.585,1,1,14.75
8.051,3.904,57.496,9.171,0.497,0.202,0.2,0,0,1,12.25
9.48,2.626,66.21,7.752,0.563,0.947,0.829,0,0,1,11.5
7.859,0.852,38.704,6.924,0.824,0.647,0.116,0,0,0,9.25
3.119,4.28,20.314,0.029,0.303,0.4,0.978,65.819,1,0,6.25
9.271,4.93,11.947,10.401,0.946,0.554,0.846,19.902,1,0,6
3.16,0.288,35.113,6.442,0.102,0.874,0.385,0,0,1,11
5.273,2.355,91.174,1.382,0.312,0.901,0.333,0,0,1,14.25
9.684,3.281,95.881,9.962,0.157,0.128,0.941,0,0,1,11
6.179,4.851,60.912,9.024,0.183,0.908,0.562,0,0,1,14.75
4.221,3.874,20.33,8.74,0.569,0.31,0.995,10.792,1,0,6
2.237,3.817,19.816,1.734,0.29,0.379,0.567,83.141,1,1,9.75
0.39,2.399,80.859,10.009,0.35,0.653,0.852,10.881,1,0,14.25
6.799,2.887,99.999,9.396,0.518,0.903,0.899,0,0,1,15.5
3.535,4.815,85.591,4.211,0.204,0.996,0.905,32.386,1,1,14.5
6.401,3.576,82.945,4.932,0.797,0.278,0.446,3.047,1,0,12.75
8.061,1.164,73.261,3.419,0.848,0.263,0.54,0,0,0,9.75
6.7,1.463,26.158,13.986,0.775,0.862,0.421,36.031,1,1,9
7.695,2.343,17.507,2.892,0.677,0.484,0.749,50.822,1,0,6.25
9.092,1.518,62.427,2.244,0.898,0.259,0.971,0,0,0,9.25
3.419,1.867,6.537,5.62,0.12,0.52,0.534,0,0,1,5.75
7.065,4.593,63.513,2.046,0.883,0.542,0.587,0,0,0,10.75
0.69,0.003,41.807,3.563,0.053,0.222,0.795,0,0,0,8
1.28,2.678,79.954,12.881,0.3,0.45,0.302,0,0,1,14
0.698,0.906,25.968,4.438,0.507,0.02,0.167,0,0,0,6.75
2.794,2.723,90.855,0.616,0.857,0.033,0.407,91.497,1,1,13.75
4.914,1.054,80.368,7.79,0.345,0.26,0.207,0,0,1,12.5
11.474,0.666,46.514,9.128,0.904,0.894,0.975,74.616,1,0,8.25
10.264,3.825,0.752,7.552,0.069,0.945,0.071,33.859,1,0,6
0.105,4.022,88.721,2.083,0.429,0.58,0.55,0,0,1,16
3.193,0.231,42.707,11.191,0.87,0.7,0.295,0,0,0,8
11.635,2.505,3.461,3.721,0.003,0.682,0.532,60.003,1,0,6.75
4.597,3.598,11.295,5.219,0.715,0.882,0.828,0,0,0,6.75
10.597,1.09,80.893,1.822,0.366,0.556,0.831,0,0,0,9.5
6.033,4.246,32.129,3.826,0.928,0.277,0.064,0,0,1,8
9.261,0.37,2.522,10.508,0.579,0.57,0.637,0,0,0,4.25
1.244,1.714,17.778,6.369,0.118,0.475,0.299,50.596,1,0,7
1.975,2.095,26.483,11.713,0.991,0.438,0.062,69.128,1,1,9.25
1.291,3.967,13.006,5.512,0.543,0.675,0.846,0,0,1,8.75
4,4.891,85.851,13.152,0.487,0.945,0.352,0,0,1,15.75
4.836,3.385,20.406,7.261,0.253,0.485,0.219,4.599,1,0,6.5
10.944,3.357,67.903,12.087,0.085,0.912,0.881,99.71,1,1,12
7.154,2.362,36.043,2.18,0.325,0.614,0.298,98.816,1,1,9.75
